titulo,empresa,local,salario,link,descricao
Engenheiro De Software III (Python / Django) - SR,COMPARTIBIKE,Todo Brasil,A combinar,https://www.infojobs.com.br/vaga-de-engenheiro-software-iii-python-django-sr-em-__11911984.aspx,Olá! Que bom saber que você tem interesse em se juntar ao nosso time! Continue aqui para conhecer a posição! Se você busca uma oportunidade para desen...
Programador C# (Junior / Pleno),Não informada,Todo Brasil,"R$ 3.500,00 a R$ 6.500,00",https://www.infojobs.com.br/vaga-de-programador-c-junior-pleno-em-__11905590.aspx,"Caso tenha o conhecimento para preencher uma das nossas vagas, pedimos que nos envie seu currículo com telefone no email: rh@spycar.com.br onde no ass..."
Engenheiro De Aplicações Junior,Não informada,Todo Brasil,A combinar,https://www.infojobs.com.br/vaga-de-engenheiro-aplicacoes-junior-em-__11895291.aspx,"Você quer criar tecnologia de segurança com um toque humano e proteger a vida de bilhões de pessoas? Na Giesecke+Devrient (G+D), somos líderes globais..."
Analista De Requisitos,Não informada,Todo Brasil,A combinar,https://www.infojobs.com.br/vaga-de-analista-requisitos-em-__11862773.aspx,Responsabilidades: Levantar e documentar requisitos funcionais e não funcionais junto aos usuários e áreas de negócio. Traduzir requisitos de negócio...
Desenvolvedor PLC JÚNIOR E PLENO,Não informada,Indaiatuba - SP,A combinar,https://www.infojobs.com.br/vaga-de-desenvolvedor-plc-junior-pleno-em-sao-paulo__12005988.aspx,* Desenvolvedor de Sistemas JÚNIOR (PLC) - Remoto* - Base de Contratação: Indaiatuba/SP Salário à Combinar Requisitos: Formação completa em Engenharia...
Desenvolvedor Full Stack - Foco Em QA / Testes | Voluntário,RHRecruiter,João Pessoa - PB,A combinar,https://www.infojobs.com.br/vaga-de-desenvolvedor-full-stack-foco-qa-testes-voluntario-em-paraiba__12005661.aspx,Estamos em busca de um(a) Desenvolvedor (a) Fullstack com foco em QA / Testes para integrar nosso time de tecnologia em uma oportunidade voluntária. ...
Desenvolvedor Full-Stack / Integração,WAKE UP TREINAMENTOS LTDA,Uberlândia - MG,"R$ 7.000,00",https://www.infojobs.com.br/vaga-de-desenvolvedor-full-stack-integracao-em-minas-gerais__12009778.aspx,1. Descritivo Interno Empresa: Code Square (Uberlândia/MG) Cargo: Desenvolvedor Full-Stack / Integração Modelo de Contratação: PJ — Contrato Temporár...
Desenvolvedor Full Stack,WB Studio Digital,Curitiba - PR,A combinar,https://www.infojobs.com.br/vaga-de-desenvolvedor-full-stack-em-parana__12005569.aspx,"Estamos contratando Desenvolvedor Full Stack para atuar no desenvolvimento, manutenção e evolução de sistemas web e aplicativos. Buscamos um profissio..."
Desenvolvedor Full Stack .NET - Pleno/Sênior,SIT - Soluções Inteligentes,São Paulo - SP,A combinar,https://www.infojobs.com.br/vaga-de-desenvolvedor-full-stack-net-plenosenior-em-sao-paulo__11993299.aspx,"?? Vaga para Desenvolvedor | PJ | Remoto Na IFollow buscamos um(a) Desenvolvedor (a) versátil e habilidoso(a), capaz de atuar em todas as camadas do de..."
Desenvolvedor Web,Dinamica Software,Palhoça - SC,"R$ 600,00 a R$ 1.000,00",https://www.infojobs.com.br/vaga-de-desenvolvedor-web-em-santa-catarina__11956396.aspx,As Atividades são: Aprendizado Linguagem e Ambiente de Programação Clarion Desenvolvimento e Manutenção de Software em Clarion. Criação de novos...
Desenvolvedor Full Stack - Pleno Ou Senior,UpTool Creative,Cabo Frio - RJ,A combinar,https://www.infojobs.com.br/vaga-de-desenvolvedor-full-stack-pleno-senior-em-rio-janeiro__11952711.aspx,"Estamos formando a equipe de desenvolvimento de uma nova plataforma digital, que possui chamada de vídeo em tempo real, atualmente em fase de MVP. Bu..."
"DESENVOLVEDOR PLENO OU SENIOR DE SOFTWARE EXP EM C, JS",ALERTAKI SOLUCOES EM TECNOLOGIA DA INFORMÇÃO LTDA,São Paulo - SP,A combinar,"https://www.infojobs.com.br/vaga-de-desenvolvedor-pleno-senior-software-exp-c,-js-em-sao-paulo__11941531.aspx",Desenvolver e implementar novas funcionalidades em sistemas web utilizando C# e JavaScript. Realizar a manutenção e otimização de códigos existentes. ...
Desenvolvedor De Aplicativo (App Com Flutter),Não informada,Mogi das Cruzes - SP,"R$ 6.000,00 a R$ 8.000,00",https://www.infojobs.com.br/vaga-de-desenvolvedor-aplicativo-app-flutter-em-sao-paulo__11905587.aspx,"Caso tenha o conhecimento para preencher uma das nossas vagas, pedimos que nos envie seu currículo com telefone no email: rh@spycar.com.br onde no ass..."
Desenvolvedor De BI,Não informada,São Paulo - SP,A combinar,https://www.infojobs.com.br/vaga-de-desenvolvedor-bi-em-sao-paulo__11892422.aspx,Desenvolvedor de BI at Work On em Home Office: uma oportunidade para inovar e transformar dados em insights. Levantamento de requisitos de negócio. D...
Desenvolvedor Back-End PHP - Júnior Ou Pleno -1014,RHF Talentos,São José dos Pinhais - PR,A combinar,https://www.infojobs.com.br/vaga-de-desenvolvedor-back-end-php-junior-pleno-1014-em-parana__11846057.aspx,Desenvolvedor Back-end PHP (Júnior ou Pleno) - Home Office Horário: Segunda a Sexta das 09h00 às 18h00 Remuneração: Informe sua pretensão salarial + A...
Desenvolvedor Roblox (Home Office),Prota Games,São Paulo - SP,"R$ 2.000,00 a R$ 3.000,00",https://www.infojobs.com.br/vaga-de-desenvolvedor-roblox-home-office-em-sao-paulo__11822627.aspx,Nosso time está em busca de um Desenvolvedor Roblox para integrar nosso time de Tech e participar do desenvolvimento dos sistemas e ferramentas que dã...
Desenvolvedor(A) Backend Júnior | Django + Flutter,Não informada,São Paulo - SP,A combinar,https://www.infojobs.com.br/vaga-de-desenvolvedora-backend-junior-django-flutter-em-sao-paulo__11742895.aspx,Em parceria com a Práxis Desenvolvimento Organizacional estamos apoiando a Vittude na busca por uma pessoa Desenvolvedora Backend Python Júnior com pe...
Programador - Especialista Em IA,Mimolda,Criciúma - SC,A combinar,https://www.infojobs.com.br/vaga-de-programador-especialista-ia-em-santa-catarina__11835728.aspx,Estamos procurando um desenvolvedor para entrar como sócio na evolução da startup. Somos uma Startup Retail Tech B2B2C de inteligência comercial e ...
Programador - Programador,JOV TECNOLOGIA LTDA,Barueri - SP,"R$ 4.000,00 a R$ 9.000,00",https://www.infojobs.com.br/vaga-de-programador-programador-em-sao-paulo__11759588.aspx,"Procuramos um Desenvolvedor Full Stack PHP com experiência em desenvolvimento de plataformas SaaS, APIs REST e integrações. O profissional atuará na e..."
Produtor Audiovisual - Home Office,Não informada,São Caetano do Sul - SP,"R$ 2.000,00 a R$ 3.000,00",https://www.infojobs.com.br/vaga-de-produtor-audiovisual-home-office-em-sao-paulo__12024728.aspx,Atuamos na criação de franquias de vídeos infantis no YouTube e atua também na produção de jogos para Mobile e Roblox. Construímos sistemas que multip...
DBA SQL,Não informada,São Paulo - SP,A combinar,https://www.infojobs.com.br/vaga-de-dba-sql-em-sao-paulo__12004517.aspx,"Buscamos uma pessoa DBA Pleno para administrar, monitorar e aprimorar seus ambientes de bancos de dados. Procuramos um profissional com sólida experi..."
DBA SQL,Não informada,Barueri - SP,A combinar,https://www.infojobs.com.br/vaga-de-dba-sql-em-sao-paulo__12004522.aspx,"Buscamos uma pessoa DBA Pleno para administrar, monitorar e aprimorar seus ambientes de bancos de dados. Procuramos um profissional com sólida experi..."
DBA SQL,Não informada,Campo Grande - MS,A combinar,https://www.infojobs.com.br/vaga-de-dba-sql-em-mato-grosso-do-sul__12004506.aspx,"Buscamos uma pessoa DBA Pleno para administrar, monitorar e aprimorar seus ambientes de bancos de dados. Procuramos um profissional com sólida experi..."
DBA SQL,Não informada,Curitiba - PR,A combinar,https://www.infojobs.com.br/vaga-de-dba-sql-em-parana__12004508.aspx,"Buscamos uma pessoa DBA Pleno para administrar, monitorar e aprimorar seus ambientes de bancos de dados. Procuramos um profissional com sólida experi..."
DBA SQL,Não informada,Rio de Janeiro - RJ,A combinar,https://www.infojobs.com.br/vaga-de-dba-sql-em-rio-janeiro__12004513.aspx,"Buscamos uma pessoa DBA Pleno para administrar, monitorar e aprimorar seus ambientes de bancos de dados. Procuramos um profissional com sólida experi..."
Dev Automação .Net RPA & AI Agent - Pleno,SIT - Soluções Inteligentes,São Paulo - SP,A combinar,https://www.infojobs.com.br/vaga-de-dev-automacao-net-rpa-ai-agent-pleno-em-sao-paulo__11995402.aspx,"?? Oportunidade | Dev Automação .Net RPA & AI Agent Estamos em busca de um(a) profissional com perfil analítico, curioso e com forte atuação em autom..."
Ux Writer,Não informada,São Paulo - SP,"R$ 1.840,00 a R$ 3.590,00",https://www.infojobs.com.br/vaga-de-ux-writer-em-sao-paulo__11963136.aspx,"""A posição envolve a criação e o refinamento de conteúdos para melhorar a experiência do usuário. Desenvolver e revisar textos para interfaces digita..."
Produtor Audiovisual - Home Office (Minecraft),Prota Games,São Paulo - SP,"R$ 2.000,00 a R$ 3.000,00",https://www.infojobs.com.br/vaga-de-produtor-audiovisual-home-office-minecraft-em-sao-paulo__11980684.aspx,Somos uma das maiores criadoras de conteúdo infantil do YouTube no mundo. Atuamos em mais de 9 idiomas e contamos com 41 franquias ativas. Atualmen...
TECHNICAL PROJECT MANAGER (IA) – PLENO/SÊNIOR,Não informada,Fortaleza - CE,"R$ 100,00 a R$ 5.000,00",https://www.infojobs.com.br/vaga-de-technical-project-manager-ia-plenosenior-em-ceara__11959401.aspx,"Estamos em busca de um(a) Technical Project Manager (IA) Pleno/Sênior, com experiência em Inteligência Artificial, desenvolvimento de software e gest..."
CRM Developer,TALENT SPOTTER SOLUCOES E RECRUTAMENTO ESPECIALIZADO LTDA,Sorocaba - SP,"R$ 7.000,00",https://www.infojobs.com.br/vaga-de-crm-developer-em-sao-paulo__11782884.aspx,"Estamos conduzindo um processo seletivo para um de nossos clientes, uma empresa multinacional, para a posição de CRM Developer II (Pleno) | Desenvolve..."
Editor De Vídeo - Home Office,Não informada,São Paulo - SP,"R$ 2.000,00 a R$ 3.000,00",https://www.infojobs.com.br/vaga-de-editor-video-home-office-em-sao-paulo__11904655.aspx,Somos uma das maiores criadoras de conteúdo infantil do YouTube no mundo. Atuamos em mais de 9 idiomas e contamos com 41 franquias ativas. Atualmen...
Gestor De Projetos - Home Office,Revenue Tecnologia,Luziânia - GO,"R$ 700,00",https://www.infojobs.com.br/vaga-de-gestor-projetos-home-office-em-goias__11877751.aspx,"Buscamos um estagiário para dar suporte direto na gestão dos projetos em andamento. A rotina envolve acompanhar prazos, manter as demandas organizadas..."
Estagio Programador,LDA Sistemas e Consultoria Ltda,Rio de Janeiro - RJ,"R$ 1.200,00 a R$ 1.300,00",https://www.infojobs.com.br/vaga-de-estagio-programador-em-rio-janeiro__11826072.aspx,Atividades do Cargo : Desenvolvimento de Sistemas / Modelagem e Implementação de Banco de Dados Conhecimentos Necessários : Desenvolvimento de S...
Consultor De Implantação De Sistemas - (Contábil/ Fiscal),Vertente Sistemas,Belo Horizonte - MG,A combinar,https://www.infojobs.com.br/vaga-de-consultor-implantacao-sistemas-contabil-fiscal-em-minas-gerais__11812528.aspx,A Vertente nasce da fusão entre duas referências do mercado mineiro para oferecer uma consultoria Sienge ainda mais robusta e tecnológica. Unimos o...
Tech Lead,EMPREGGA TECNOLOGIA,São Paulo - SP,"R$ 12.000,00",https://www.infojobs.com.br/vaga-de-tech-lead-em-sao-paulo__11733010.aspx,"Sobre a AstraMobi A AstraMobi está liderando o desenvolvimento do primeiro ecossistema completo de Free Flow brasileiro, integrando tecnologia chinesa..."
